Time(ms),Cwnd,Ssthresh
1361,1,16
1371,2,16
1371,2,16
1371,2,16
1381,2,16
1383,3,16
1383,3,16
1383,3,16
1395,3,16
1398,4,16
1398,4,16
1398,4,16
1409,4,16
1412,5,16
1412,5,16
1412,5,16
1424,5,16
1426,6,16
1426,6,16
1426,6,16
1437,6,16
1439,7,16
1439,7,16
1439,7,16
1449,7,16
1451,8,16
1451,8,16
1451,8,16
1463,8,16
1465,9,16
1465,9,16
1465,9,16
1474,9,16
1476,10,16
1476,10,16
1476,10,16
1487,10,16
1489,11,16
1489,11,16
1489,11,16
1501,11,16
1502,12,16
1502,12,16
1502,12,16
1514,12,16
1525,12,16
1527,13,16
1528,14,16
1528,14,16
1528,14,16
1538,14,16
1540,15,16
1541,15,16
1541,15,16
1550,15,16
1551,16,16
1551,16,16
1551,16,16
1563,16,16
1564,16,16
1564,16,16
1576,16,16
1578,16,16
1578,16,16
1588,16,16
1589,16,16
1589,16,16
1601,16,16
1602,16,16
1602,16,16
1614,16,16
1616,16,16
1616,16,16
1627,16,16
1629,16,16
1629,16,16
1641,16,16
1642,16,16
1642,16,16
1654,16,16
1655,16,16
1655,16,16
1665,16,16
1667,16,16
1667,16,16
1677,16,16
1679,16,16
1679,16,16
1691,16,16
1692,16,16
1692,16,16
1704,16,16
1705,16,16
1705,16,16
1717,16,16
1718,16,16
1718,16,16
1730,16,16
1731,16,16
1731,16,16
1743,16,16
1744,17,16
1744,17,16
1756,17,16
1757,17,16
1758,17,16
1768,17,16
1769,17,16
1770,17,16
1781,17,16
1782,17,16
1782,17,16
1794,17,16
1795,17,16
1796,17,16
1808,17,16
1809,17,16
1809,17,16
1821,17,16
1822,17,16
1822,17,16
1832,17,16
1834,17,16
1834,17,16
1846,17,16
1847,17,16
1847,17,16
1856,17,16
1858,17,16
1858,17,16
1869,17,16
1871,17,16
1871,17,16
1883,17,16
1884,17,16
1884,17,16
1896,17,16
1897,17,16
1897,17,16
1909,17,16
1910,17,16
1910,17,16
1922,17,16
1923,17,16
1923,17,16
1935,17,16
1936,17,16
1936,17,16
1946,17,16
1947,17,16
1947,17,16
1960,17,16
1960,17,16
1960,17,16
1973,17,16
1973,18,16
1973,18,16
1984,18,16
1985,18,16
1985,18,16
1997,18,16
1998,18,16
1998,18,16
2010,18,16
2011,18,16
2011,18,16
2023,18,16
2024,18,16
2025,18,16
2034,18,16
2035,18,16
2035,18,16
2047,18,16
2060,18,16
2061,18,16
2061,18,16
2073,18,16
2074,18,16
2074,12,9
2075,12,9
2075,12,9
2085,12,9
2086,12,9
2086,12,9
2098,12,9
2099,12,9
2099,12,9
2111,12,9
2112,12,9
2112,12,9
2124,12,9
2124,12,9
2124,12,9
2136,12,9
2137,12,9
2137,12,9
2149,12,9
2150,12,9
2150,12,9
2162,12,9
2175,12,9
2175,12,9
2175,12,9
2187,12,9
2188,12,9
2188,9,6
2189,9,6
2189,9,6
2200,9,6
2201,9,6
2201,9,6
2211,9,6
2213,9,6
2213,9,6
2224,9,6
2225,9,6
2225,9,6
2237,9,6
2237,9,6
2237,9,6
2249,9,6
2250,9,6
2250,9,6
2260,9,6
2260,9,6
2260,9,6
2272,9,6
2273,9,6
2273,9,6
2282,9,6
2283,9,6
2283,9,6
2295,9,6
2296,10,6
2296,10,6
2308,10,6
2309,10,6
2309,10,6
2321,10,6
2322,10,6
2322,10,6
2332,10,6
2333,10,6
2333,10,6
2345,10,6
2346,10,6
2346,10,6
2358,10,6
2359,10,6
2359,10,6
2371,10,6
2371,10,6
2371,10,6
2384,10,6
2384,10,6
2384,10,6
2396,10,6
2397,10,6
2397,10,6
2409,10,6
2410,11,6
2410,11,6
2422,11,6
2423,11,6
2423,11,6
2432,11,6
2433,11,6
2433,11,6
2445,11,6
2446,11,6
2446,11,6
2456,11,6
2457,11,6
2457,11,6
2468,11,6
2468,11,6
2468,11,6
2480,11,6
2481,11,6
2481,11,6
2492,11,6
2493,11,6
2493,11,6
2504,11,6
2505,11,6
2505,11,6
2516,11,6
2516,11,6
2516,11,6
2527,11,6
2528,11,6
2528,11,6
2540,11,6
2541,12,6
2541,12,6
2553,12,6
2554,12,6
2554,12,6
2564,12,6
2565,12,6
2565,12,6
2577,12,6
2578,12,6
2578,12,6
2590,12,6
2591,12,6
2591,12,6
2603,12,6
2603,12,6
2603,12,6
2616,12,6
2616,12,6
2616,12,6
2628,12,6
2629,12,6
2629,12,6
2639,12,6
2640,12,6
2640,12,6
2651,12,6
2651,12,6
2651,12,6
2662,12,6
2663,12,6
2663,12,6
2675,12,6
2676,12,6
2676,12,6
2688,12,6
2689,13,6
2689,13,6
2701,13,6
2702,13,6
2702,13,6
2714,13,6
2715,13,6
2715,13,6
2727,13,6
2728,13,6
2728,13,6
2740,13,6
2740,13,6
2741,13,6
2753,13,6
2753,13,6
2753,13,6
2765,13,6
2766,13,6
2766,13,6
2778,13,6
2779,13,6
2779,13,6
2791,13,6
2792,13,6
2792,13,6
2804,13,6
2805,13,6
2805,13,6
2817,13,6
2818,13,6
2818,13,6
2830,13,6
2836,13,6
2836,13,6
2843,13,6
2845,13,6
2845,13,6
2857,13,6
2858,14,6
2858,14,6
2870,14,6
2871,14,6
2871,14,6
2883,14,6
2884,14,6
2884,14,6
2896,14,6
2897,14,6
2897,14,6
2908,14,6
2909,14,6
2909,14,6
2921,14,6
2923,14,6
2923,14,6
2934,14,6
2935,14,6
2935,14,6
2947,14,6
2948,14,6
2948,14,6
2960,14,6
2961,14,6
2961,14,6
2973,14,6
2975,14,6
2975,14,6
2986,14,6
2987,14,6
2987,14,6
2999,14,6
3000,14,6
3000,14,6
3012,14,6
3013,14,6
3013,14,6
3025,14,6
3026,14,6
3026,14,6
3038,14,6
3039,15,6
3039,15,6
3051,15,6
3051,15,6
3051,15,6
3062,15,6
3063,15,6
3063,15,6
3074,15,6
3075,15,6
3075,15,6
3085,15,6
3086,15,6
3086,15,6
3098,15,6
3099,15,6
3099,15,6
3110,15,6
3110,15,6
3110,15,6
3122,15,6
3122,15,6
